friday,hotelId,price
2017-12-01,1118954,255
2017-12-01,914263,135
2017-12-01,888733,132
2017-12-01,5685761,197
2017-12-01,523756,368
2017-12-01,528338,217
2017-12-01,523223,258
2017-12-01,47581,344
2017-12-01,2479,234
2017-12-01,856595,435
2017-12-01,854775,171
2017-12-01,535667,219
2017-12-01,2156327,197
2017-12-01,6232954,203
2017-12-01,329968,154
2017-12-01,847459,194
2017-12-01,1742184,229
2017-12-01,559689,177
2017-12-01,1183908,191
2017-12-01,10744,426
2017-12-01,8563,433
2017-12-01,8161,228
2017-12-01,21352,419
2017-12-01,888528,229
2017-12-01,891035,246
2017-12-01,7049006,160
2017-12-01,455821,391
2017-12-01,9789,145
2017-12-01,54987,228
2017-12-01,909545,198
2017-12-01,15118004,209
2017-12-01,801796,255
2017-12-01,5459142,178
2017-12-01,25926,225
2017-12-01,2605,187
2017-12-01,900931,117
2017-12-01,1058226,155
2017-12-01,6473,245
2017-12-01,527232,178
2017-12-01,8763846,79
2017-12-01,16413,309
2017-12-01,5210931,166
2017-12-01,5261444,229
2017-12-01,14849368,212
2017-12-01,1402005,163
